date,OT,1,2,3,4,5,6,7
2012/4/1,10.05,5,24,17.95,64.1,6.8,19.5,0.3
2012/4/2,10.11,5,24,15.89,61.1,6.6,19.5,0.3
2012/4/3,10.39,5,24,16.61,61.5,6.7,19.5,0.2
2012/4/4,10.56,5,24,16.44,60.9,6.6,19.6,0.3
2012/4/5,9.83,5,24,17.17,63.6,6.7,19.5,0.3
2012/4/6,10.83,5,24,16.17,59.9,6.6,19.6,0.3
2012/4/7,10.96,5,24,16.04,59.4,6.5,19.6,0.3
2012/4/8,10.02,5,24,16.98,62.9,6,19.6,0.3
2012/4/9,10.21,5,24,16.79,62.2,6,19.5,0.3
2012/4/10,10.45,5,24,16.55,61.3,6,19.6,0.4
2012/4/11,9.75,5,24,16.25,62.5,6,19.6,0.3
2012/4/12,9.88,5,24,17.12,63.4,6.1,19.6,0.3
2012/4/13,10.26,5,24,16.74,62,5.8,19.5,0.3
2012/4/14,10.34,5,24,16.66,61.7,5.7,19.5,0.3
2012/4/15,10.18,5,24,16.82,62.3,6.1,19.5,0.3
2012/4/16,9.88,5,24,16.12,62,5.8,19.4,0.3
2012/4/17,9.56,5,24,17.44,64.6,6,19.7,0.3
2012/4/18,10.15,5,24,16.85,62.4,5.5,19.6,0.3
2012/4/19,9.91,5,24,16.09,61.9,5.6,19.6,0.3
2012/4/20,10.53,5,24,16.47,61,5.9,19.5,0.2
2012/4/21,10.45,5,24,16.55,61.3,6.1,19.5,0.3
2012/4/22,10.3,5,24,15.7,60.4,5.6,19.4,0.3
2012/4/23,10.48,5,24,16.52,61.2,5.5,19.4,0.3
2012/4/24,9.35,5,24,15.65,62.6,6,19.4,0.3
2012/4/25,10.66,5,24,15.34,59,6,19.4,0.3
2012/4/26,9.62,5,24,15.38,61.5,6,19.4,0.3
2012/4/27,9.31,5,24,16.69,64.2,6,19.4,0.3
2012/4/28,10.11,5,24,17.89,63.9,6,19.4,0.3
2012/4/29,9.3,5,24,15.7,62.8,6,19.4,0.3
2012/4/30,10.32,5,24,15.68,60.3,6,19.4,0.3
2012/5/1,10.8,5,24,16.2,60,6,19.4,0.3
2012/5/2,10.53,5,24,16.47,61,6,19.4,0.3
2012/5/3,9.75,5,24,16.25,62.5,6,19.4,0.3
2012/5/4,10,5,24,15,60,6,19.4,0.3
2012/5/5,10.89,5,24,17.11,61.1,6,19.4,0.3
2012/5/6,9.77,5,24,17.23,63.8,6,19.4,0.3
2012/5/7,9.75,5,24,16.25,62.5,6,19.6,0.3
2012/5/8,10.48,5,24,16.52,61.2,6,19.6,0.3
2012/5/9,10.4,5,24,15.6,60,6,19.6,0.3
2012/5/10,9.77,5,24,15.23,60.9,6,19.6,0.3
2012/5/11,9.88,5,24,16.12,62,6,19.8,0.3
2012/5/12,10.11,5,24,15.89,61.1,6,19.5,0.3
2012/5/13,10.27,5,24,15.73,60.5,5.6,19.8,0.3
2012/5/14,9.49,5,24,16.51,63.5,5.6,19.8,0.3
2012/5/15,9.41,5,24,16.59,63.8,6,19.8,0.3
2012/5/16,9.36,5,24,16.64,64,6,19.6,0.3
2012/5/17,10.26,5,24,16.74,62,5.6,19.6,0.3
2012/5/18,8.32,4,23.08,23.68,74,5.6,19.6,0.3
2012/5/19,7.35,4,24,13.65,65,6,24,0.3
2012/5/20,7.35,4,24,13.65,65,8,24.2,0.3
2012/5/21,7.35,4,24,13.65,65,7.8,24.5,0.3
2012/5/22,7.35,4,24,13.65,65,7.9,24.5,0.3
